,GEOID,COUNTY,LAT,LON,age_median,agg_travel_time,agg_travel_time_2011,contract_rent_25q,contract_rent_50q,contract_rent_75q,county,gross_rent_median,gross_rent_median_2011,household_income_median,household_income_median_2011,households,housing_median_value,housing_median_value_2011,housing_occupied,housing_owner_occupied,housing_renter_occupied,housing_units,housing_units_2011,housingcost_w_mort_2011,housingcost_w_mortgage,housingcost_wo_mort_2011,housingcost_wo_mortgage,male,mort_cost_%_of_income,mort_cost_%_of_income_2011,pop_over16_work,pop_over25_edu,pop_over25_edu_HS,pop_over25_edu_bach,pop_over25_edu_coll,pop_over25_edu_grad,pop_over25_edu_less_HS,population,population_2011,population_under18,poverty,poverty_2011,rs_tax_median_w_mort,tract,vacancy,white,geo_header,accommodates,bathrooms,bedrooms,beds,dailyrate,number_of_reviews,review_scores_location,review_scores_rating,airbnb_listings,mean_travel_time,airbnb_monthly_equal,airbnb_rent_mult,make_rent_median,make_rent_75q,%_occupied,airbnb_trans,%_non-whites,%_vacancy,%_poverty,airbnb_housing_density,airbnb_rental_density,cap_rate,airbnb_cap_rate,housing_affordability,%_hs_or_above,%_bach_or_above,ppl_per_household,%_male,chg_gross_rent_median,chg_household_income_median,chg_housing_units,chg_population,chg_housing_value_median,chg_mort_cost,chg_mort_cost_%_of_income,%_poverty_2011,chg_%_poverty,cap_rate_differential,id,coffee_count,green_rides,noise_count,uber_rides,bar_count,yellow_rides
13,36005003300,5,40.8082226,-73.9119246,28.8,,43000,261,433,1011,005,479,539,19784,20670,1166,316700,388300,1166,121,1045,1222,1253,1916,2750,753,740,1824,50,50,1035,2137,495,189,475,42,936,3852,3707,1317,1877,1534,2103,003300,56,1021,36,,,,,,,,,,,,,,,95.4173486088,0,73.4942886812,4.58265139116,48.727933541,0.0,0.0,1.8149668456,,14.9878787879,56.2002807674,10.8095460927,3.30360205832,47.3520249221,-60.0,-886.0,-31.0,145.0,-71600.0,834.0,0.0,41.381170758,7.34676278299,,,0.0,498.0,241.0,59.0,0.0,132.0
14,36005003500,5,40.8109651,-73.9086696,29.4,,43930,296,653,941,005,773,714,22267,27585,1309,309100,412500,1309,74,1235,1383,1332,,2065,930,,1829,32.7,,1150,2169,716,133,342,20,958,3753,4111,1076,1534,1560,2889,003500,74,373,36,2.6,1.0,1.0,1.2,48.2,20.8,8.0,84.6,5.0,,1470.1,1.90181112549,16.0373443983,19.5228215768,94.6493130875,5,90.0612843059,5.35068691251,40.8739674927,0.361532899494,0.404858299595,3.00097055969,5.70727919767,22.4646892655,55.8321807284,7.05394190871,2.86707410237,48.7343458566,59.0,-5318.0,51.0,-358.0,-103400.0,,,37.9469715398,2.9269959529,2.70630863798,,0.0,1048.0,512.0,35.0,0.0,76.0
15,36005003700,5,40.8114424,-73.912187,45.2,1985,,289,787,962,005,872,1250,9327,26111,96,,,96,0,96,96,54,,,,,103,,,42,138,71,3,37,5,22,199,187,37,99,42,,003700,0,50,36,1.0,1.0,1.0,1.0,35.0,0.0,,,1.0,47.2619047619,1067.5,1.22419724771,24.9142857143,27.4857142857,100.0,1,74.8743718593,0.0,49.7487437186,1.04166666667,1.04166666667,,,,84.0579710145,5.79710144928,2.07291666667,51.7587939698,-378.0,-16784.0,42.0,12.0,,,,22.4598930481,27.2888506705,,,0.0,1394.0,88.0,4.0,0.0,62.0
16,36005003800,5,40.8202946,-73.8633435,31.2,19420,,555,989,1300,005,1056,1115,46534,58750,369,404000,470800,369,140,229,427,429,3169,2477,738,806,614,34.9,36.1,518,847,205,58,307,64,213,1303,1727,360,358,614,1725,003800,58,270,36,2.0,1.0,1.0,2.0,82.0,11.0,8.0,93.0,1.0,37.4903474903,2501.0,2.36837121212,12.8780487805,15.8536585366,86.4168618267,1,79.2785878741,13.5831381733,27.4750575595,0.234192037471,0.436681222707,3.13663366337,7.42871287129,39.1384066747,74.852420307,14.4037780401,3.53116531165,47.1220260936,-59.0,-12216.0,-2.0,-424.0,-66800.0,-692.0,-1.2,35.5529820498,-8.07792449032,4.29207920792,,0.0,279.0,651.0,14.0,0.0,56.0
17,36005003900,5,40.8097217,-73.9214264,29.2,,,403,794,1153,005,930,890,27608,32875,1945,444400,498500,1945,144,1801,2228,2303,2548,2717,489,,3429,29.1,28.9,2396,3917,1174,441,652,134,1516,6580,7041,1996,1947,1854,2276,003900,283,1721,36,2.25,1.125,1.0,2.25,65.0,6.0,8.5,94.5,4.0,,1982.5,2.13172043011,14.3076923077,17.7384615385,87.2980251346,4,73.8449848024,12.7019748654,29.5896656535,0.179533213645,0.222098833981,2.51125112511,5.35328532853,21.1691816955,61.2969109012,14.679601736,3.38303341902,52.1124620061,40.0,-5267.0,-75.0,-461.0,-54100.0,169.0,0.2,26.3314870047,3.25817864881,2.84203420342,,0.0,4906.0,591.0,42.0,0.0,506.0
18,36005004001,5,40.8282719,-73.8583355,39.6,,,756,883,1500,005,970,992,47841,48400,503,350000,397500,503,248,255,565,593,2162,2386,1001,1001,716,31.5,32.4,630,1110,298,136,270,45,361,1550,1545,348,376,218,3433,004001,62,378,36,8.0,2.0,1.0,2.0,60.0,11.0,9.0,100.0,1.0,,1830.0,1.88659793814,16.1666666667,25.0,89.0265486726,1,75.6129032258,10.9734513274,24.2580645161,0.176991150442,0.392156862745,3.32571428571,6.27428571429,41.7723176865,67.4774774775,16.3063063063,3.08151093439,46.1935483871,-22.0,-559.0,-28.0,5.0,-47500.0,224.0,-0.9,14.1100323625,10.1480321537,2.94857142857,,0.0,1637.0,535.0,27.0,0.0,218.0
19,36005004100,5,40.8113856,-73.9194099,25.1,71980,77475,307,569,796,005,601,530,18516,19752,2018,315900,245800,2018,153,1865,2145,2206,2000,2431,838,960,3201,50,42.5,1732,3248,843,175,724,52,1454,6483,6595,2076,3250,3071,4389,004100,127,1781,36,2.0,1.0,1.0,1.0,81.25,8.5,9.33333333333,99.6666666667,4.0,41.558891455,2478.125,4.12333610649,7.39692307692,9.79692307692,94.0792540793,4,72.5281505476,5.92074592075,50.1311121394,0.18648018648,0.214477211796,2.28300094967,9.41358024691,15.8679555738,55.2339901478,6.98891625616,3.21258671952,49.375289218,71.0,-1236.0,-61.0,-112.0,70100.0,431.0,7.5,46.5655799848,3.5655321546,7.13057929725,,0.0,1794.0,511.0,65.0,0.0,292.0
20,36005004200,5,40.8239307,-73.8620059,35.6,91295,,348,719,973,005,737,629,22135,36840,2719,218500,229000,2719,201,2518,2796,2830,1800,1789,581,281,3444,31.9,33.8,1889,4769,1407,445,1336,85,1496,7599,6702,1543,3443,1200,3735,004200,77,1611,36,1.0,1.0,1.0,1.0,45.0,2.0,10.0,100.0,1.0,48.3298041292,1372.5,1.86227951153,16.3777777778,21.6222222222,97.2460658083,1,78.7998420845,2.7539341917,45.308593236,0.035765379113,0.0397140587768,4.047597254,7.53775743707,25.7767374697,68.6307401971,11.113440973,2.79477749172,45.3217528622,108.0,-14705.0,-34.0,897.0,-10500.0,-11.0,-1.9,17.9051029543,27.4034902816,3.49016018307,,0.0,2567.0,545.0,32.0,0.0,161.0
21,36005004300,5,40.8136213,-73.9170376,28,68325,67465,299,723,1117,005,766,708,21827,26042,1923,444700,427600,1923,178,1745,2063,1874,1743,2245,99,,3027,35.9,30.5,1742,3217,910,317,678,66,1246,5841,4822,1947,2589,1940,3286,004300,140,791,36,2.4,1.0,1.2,1.4,59.0,4.0,7.0,85.6666666667,5.0,39.2221584386,1799.5,2.34921671018,12.9830508475,18.9322033898,93.2137663597,5,86.4577983222,6.78623364033,44.3246019517,0.242365487155,0.286532951289,2.06701146841,4.85585788172,20.2551967335,61.2682623562,11.9055020205,3.03744149766,51.823317925,58.0,-4215.0,189.0,1019.0,17100.0,502.0,5.4,40.2322687681,4.09233318357,2.78884641331,1.0,1.0,15238.0,1324.0,54.0,1.0,911.0
22,36005004400,5,40.8265305,-73.8663677,35,,,246,434,712,005,448,385,23102,16313,1670,407700,675600,1670,160,1510,1714,1730,3982,3327,467,442,2092,50,27.7,1274,2808,739,268,581,15,1205,4830,4450,1254,1707,1990,3134,004400,44,602,36,,,,,,,,,,,,,,,97.4329054842,0,87.5362318841,2.56709451575,35.3416149068,0.0,0.0,1.31861662987,,14.4662358481,57.0868945869,10.0783475783,2.89221556886,43.3126293996,63.0,6789.0,-16.0,380.0,-267900.0,-655.0,22.3,44.7191011236,-9.37748621676,,,0.0,476.0,303.0,9.0,0.0,44.0
23,36005004600,5,40.8224207,-73.8691745,38,,,549,724,925,005,744,730,44297,27083,686,162500,87600,686,172,514,705,726,4001,4001,446,525,770,49.8,34.3,480,1138,311,126,322,76,303,1659,1724,387,379,323,2786,004600,19,434,36,,,,,,,,,,,,,,,97.304964539,0,73.8396624473,2.69503546099,22.845087402,0.0,0.0,5.49415384615,,23.0655877697,73.374340949,17.7504393673,2.41836734694,46.4135021097,14.0,17214.0,-21.0,-65.0,74900.0,0.0,15.5,18.7354988399,4.10958856214,,,0.0,1174.0,747.0,42.0,0.0,98.0
24,36005004800,5,40.8270043,-73.8743239,34.6,,,673,890,1110,005,1011,950,24437,26114,1234,354000,401400,1234,93,1141,1412,1411,1823,1757,567,610,2155,35.3,50,1372,2620,573,140,434,39,1434,4024,3962,1085,1630,1803,1927,004800,178,551,36,,,,,,,,,,,,,,,87.3937677054,0,86.3071570577,12.6062322946,40.5069582505,0.0,0.0,3.42711864407,,28.9757636122,45.2671755725,6.8320610687,3.26094003241,53.5536779324,61.0,-1677.0,1.0,62.0,-47400.0,-66.0,-14.7,45.5073195356,-5.00036128509,,,0.0,3620.0,2001.0,1.0,0.0,104.0
25,36005005001,5,40.824997,-73.8778533,30.1,,84095,916,1106,1313,005,1236,1070,31250,29125,1456,455600,436000,1456,210,1246,1595,1609,2426,2929,661,650,2217,49.6,50,1866,2979,762,207,625,70,1315,5040,4653,1497,1808,1608,1833,005001,139,493,36,,,,,,,,,,,,,,,91.2852664577,0,90.2182539683,8.71473354232,35.873015873,0.0,0.0,3.25548726953,,22.2274382611,55.8576703592,9.29842228936,3.46153846154,43.9880952381,166.0,2125.0,-14.0,387.0,19600.0,503.0,-0.4,34.558349452,1.31466642105,,,0.0,449.0,1343.0,0.0,0.0,54.0
26,36005005002,5,40.8273629,-73.878435,30,129300,,722,981,1172,005,1098,903,29338,26126,1752,521300,588100,1752,86,1666,1965,1864,,,1001,1001,3018,,50,2634,3386,802,95,739,68,1682,5791,5254,1489,2433,1969,,005002,213,1046,36,,,,,,,,,,49.0888382688,,,,,89.1603053435,0,81.9374892074,10.8396946565,42.0134691763,0.0,0.0,2.52752733551,,,50.3248670998,4.81393975192,3.3053652968,52.1153514074,195.0,3212.0,101.0,537.0,-66800.0,,,37.476208603,4.53726057334,,,0.0,2177.0,579.0,24.0,0.0,74.0
27,36005005100,5,40.813308,-73.9273822,29.8,74610,,341,488,727,005,494,453,20233,16580,1957,,,1957,0,1957,2032,2033,,,,,2457,,,1733,3391,941,235,656,61,1498,5814,5135,1710,2475,2249,,005100,75,757,36,2.33333333333,1.16666666667,0.333333333333,1.0,105.0,6.66666666667,9.0,81.0,3.0,43.0525100981,3202.5,6.48279352227,4.70476190476,6.92380952381,96.3090551181,3,86.9797041624,3.69094488189,42.5696594427,0.147637795276,0.153295861012,,,,55.824240637,8.72898849897,2.97087378641,42.2600619195,41.0,3653.0,-1.0,679.0,,,,43.7974683544,-1.22780891171,,2.0,2.0,22193.0,554.0,325.0,1.0,7434.0
28,36005005200,5,40.8256416,-73.8824356,33.5,24165,19330,250,500,852,005,555,811,16810,27875,766,350000,,766,24,742,813,817,,,823,830,1000,,,564,1409,425,65,314,23,582,2128,1685,534,1002,622,,005200,47,371,36,2.0,1.0,1.0,2.0,110.0,1.0,8.0,100.0,1.0,42.8457446809,3355.0,6.04504504505,5.04545454545,7.74545454545,94.2189421894,1,82.5657894737,5.78105781058,47.0864661654,0.123001230012,0.134770889488,1.90285714286,11.5028571429,,58.6941092974,6.24556422995,2.77806788512,46.992481203,-256.0,-11065.0,-4.0,443.0,,,,36.9139465875,10.1725195779,9.6,,0.0,682.0,486.0,82.0,0.0,72.0
29,36005005300,5,40.851772,-73.9221829,28.6,,52890,362,770,1077,005,785,688,16173,16410,1302,,,1302,0,1302,1613,1864,,,,,1377,,,790,1816,455,209,528,80,544,3305,3610,1036,1836,1587,,005300,311,150,36,,,,,,,,,,,,,,,80.7191568506,0,95.4614220877,19.2808431494,55.552193646,0.0,0.0,,,,70.0440528634,15.9140969163,2.53840245776,41.6641452345,97.0,-237.0,-251.0,-305.0,,,,43.9612188366,11.5909748094,,,0.0,829.0,550.0,36.0,0.0,84.0
30,36005005400,5,40.8298875,-73.8797806,33.1,112665,117630,827,1065,1309,005,1164,1043,32254,30082,1729,436500,457500,1729,278,1451,1942,1936,3285,1488,792,813,3126,39.2,49.1,2652,4199,1168,308,840,66,1817,6334,6138,1551,2187,2364,3381,005400,213,991,36,2.0,1.0,1.0,1.0,41.0,0.0,,,1.0,42.4830316742,1250.5,1.07431271478,28.3902439024,31.9268292683,89.0319258496,1,84.354278497,10.9680741504,34.5279444269,0.0514933058702,0.0689179875948,3.2,3.43780068729,45.1584901434,56.7277923315,8.90688259109,3.66338924234,49.3526997158,121.0,2172.0,6.0,196.0,-21000.0,-1797.0,-9.9,38.514173998,-3.98622957114,0.237800687285,,0.0,2341.0,720.0,20.0,0.0,60.0
31,36005005600,5,40.8326118,-73.8790757,39.7,30915,46350,310,821,1143,005,1002,924,17708,26964,884,436400,679200,884,70,814,1026,1088,4001,4000,672,689,1046,50,50,811,1624,591,76,252,16,689,2391,2300,595,948,664,3250,005600,142,376,36,1.0,1.0,1.0,1.0,45.0,1.0,6.0,80.0,1.0,38.1196054254,1372.5,1.36976047904,22.2666666667,25.4,86.1598440546,1,84.2743621916,13.8401559454,39.6486825596,0.0974658869396,0.12285012285,2.75527039413,3.77406049496,9.22291666667,57.5738916256,5.66502463054,2.70475113122,43.7473860309,78.0,-9256.0,-62.0,91.0,-242800.0,-1.0,0.0,28.8695652174,10.7791173422,1.01879010082,1.0,1.0,519.0,383.0,6.0,0.0,25.0
32,36005005902,5,40.824086,-73.9234467,37.1,,34665,763,961,1234,005,1135,974,38244,35666,1077,169300,158200,1077,186,891,1145,1130,592,,428,613,1275,,40.5,989,1722,459,112,437,118,596,2856,2426,590,791,638,,005902,68,454,36,3.0,1.1875,1.25,1.375,106.25,4.625,8.6,88.4,8.0,,3240.625,2.85517621145,10.6823529412,11.6141176471,94.0611353712,8,84.1036414566,5.93886462882,27.6960784314,0.698689956332,0.897867564534,8.04489072652,22.9695806261,,65.3890824623,13.356562137,2.65181058496,44.6428571429,161.0,2578.0,15.0,430.0,11100.0,,,26.2984336356,1.39764479576,14.9246898996,2.0,2.0,16009.0,1094.0,831.0,1.0,1933.0
33,36005006000,5,40.8377032,-73.8780437,33.1,,,744,857,968,005,1081,987,43125,37917,314,304500,427300,314,33,281,375,402,2213,,1001,725,568,,50,472,728,253,124,128,26,197,1192,1359,300,324,431,,006000,61,144,36,,,,,,,,,,,,,,,83.7333333333,0,87.9194630872,16.2666666667,27.1812080537,0.0,0.0,4.26009852217,,,72.9395604396,20.6043956044,3.79617834395,47.6510067114,94.0,5208.0,-27.0,-167.0,-122800.0,,,31.7144959529,-4.53328789922,,,0.0,1965.0,497.0,39.0,0.0,203.0
34,36005006100,5,40.8222516,-73.9226669,50.3,,53465,817,947,1074,005,952,851,47993,40970,2191,24000,30600,2191,1321,870,2361,2094,850,1320,739,694,1589,25.7,10,1601,3138,711,653,961,445,368,4007,3447,535,441,426,2409,006100,170,175,36,,,,,,,,,,,,,,,92.7996611605,0,95.632642875,7.20033883947,11.0057399551,0.0,0.0,47.6,,75.7465277778,88.2727852135,34.9904397706,1.82884527613,39.6556026953,101.0,7023.0,267.0,560.0,-6600.0,470.0,15.7,12.3585726719,-1.35283271681,,,0.0,6578.0,297.0,55.0,1.0,494.0
35,36005006200,5,40.8332811,-73.8754495,28.6,97255,,353,545,1032,005,545,728,24668,25017,2388,405300,419400,2388,89,2299,2522,2484,3854,,99,,3968,,50,2264,4366,1146,187,869,150,2014,7682,7150,2196,2939,2398,,006200,134,669,36,,,,,,,,,,42.957155477,,,,,94.6867565424,0,91.2913303827,5.31324345757,38.2582660765,0.0,0.0,1.61361954108,,,53.8708199725,7.71873568484,3.21691792295,51.6532153085,-183.0,-349.0,38.0,532.0,-14100.0,,,33.5384615385,4.71980453808,,,0.0,668.0,1456.0,12.0,0.0,46.0
36,36005006300,5,40.8242061,-73.9287302,37.3,76735,92060,776,958,1161,005,1120,1045,33809,29923,1829,250400,215300,1829,225,1604,2002,2107,1625,1116,536,456,2204,18.1,29.6,1834,3155,671,423,750,162,1149,4480,5480,992,1428,1812,2386,006300,173,1292,36,2.65,1.05,0.9,1.35,91.3,5.4,8.92857142857,89.4285714286,20.0,41.8402399128,2784.65,2.48629464286,12.2672508215,12.7163198248,91.3586413586,20,71.1607142857,8.64135864136,31.875,0.999000999001,1.24688279302,5.36741214058,13.3449680511,63.1141726404,63.5816164818,18.5419968304,2.4494259158,49.1964285714,75.0,3886.0,-105.0,-1000.0,35100.0,-509.0,-11.5,33.0656934307,-1.19069343066,7.97755591054,,0.0,22170.0,757.0,585.0,6.0,1906.0
37,36005006400,5,40.8329646,-73.8721701,32.7,,,825,1113,1382,005,1222,1181,27048,43800,1238,539200,481800,1238,140,1098,1449,1407,2828,4001,833,917,1785,50,50,1369,2234,679,416,556,45,538,3565,4038,935,1324,1024,2852,006400,211,656,36,4.4,1.4,1.0,2.8,52.0,34.6,8.2,91.4,5.0,,1586.0,1.29787234043,23.5,26.5769230769,85.4382332643,5,81.5988779804,14.5617667357,37.1388499299,0.345065562457,0.455373406193,2.71958456973,3.5296735905,14.0839790052,75.9176365264,20.6356311549,2.87964458805,50.0701262272,41.0,-16752.0,42.0,-473.0,57400.0,1173.0,0.0,25.3590886578,11.7797612721,0.810089020772,,0.0,449.0,552.0,6.0,0.0,36.0
