,census_tract,count
436,36047013800.0,257
437,36047013900.0,310
438,36047014000.0,116
439,36047014100.0,401
440,36047014200.0,495
441,36047014300.0,330
442,36047014500.0,719
443,36047014700.0,463
444,36047014800.0,32
445,36047014900.0,264
446,36047015000.0,68
447,36047015100.0,235
448,36047015200.0,34
449,36047015300.0,79
450,36047015500.0,225
451,36047015700.0,147
452,36047015900.0,274
453,36047016000.0,367
454,36047016100.0,305
455,36047016200.0,420
456,36047016300.0,741
457,36047016400.0,1
458,36047016500.0,193
459,36047016600.0,40
460,36047016700.0,222
461,36047016800.0,15
462,36047016900.0,259
463,36047017000.0,85
464,36047017100.0,101
465,36047017200.0,126
466,36047017400.0,156
467,36047017600.0,107
468,36047017700.0,5
469,36047017800.0,145
470,36047017900.0,1360
471,36047018000.0,122
472,36047018100.0,1417
473,36047018200.0,99
474,36047018300.0,355
475,36047018400.0,56
476,36047018501.0,767
477,36047018600.0,85
478,36047018700.0,330
479,36047018800.0,83
480,36047019000.0,192
481,36047019100.0,353
482,36047019200.0,52
483,36047019300.0,250
484,36047019400.0,262
485,36047019500.0,453
486,36047019600.0,306
487,36047019700.0,391
488,36047019800.0,58
489,36047019900.0,450
490,36047020000.0,66
491,36047020100.0,932
492,36047020200.0,24
493,36047020300.0,430
494,36047020400.0,63
495,36047020500.0,604
496,36047020600.0,32
497,36047020700.0,572
498,36047020800.0,74
499,36047021000.0,79
500,36047021100.0,99
501,36047021200.0,244
502,36047021300.0,1013
503,36047021400.0,80
504,36047021500.0,1227
505,36047021600.0,41
506,36047021700.0,1000
507,36047021800.0,91
508,36047021900.0,1339
509,36047022000.0,92
510,36047022100.0,893
511,36047022200.0,87
512,36047022400.0,242
513,36047022600.0,286
514,36047022700.0,837
515,36047022800.0,58
516,36047022900.0,960
517,36047023000.0,110
518,36047023100.0,1126
519,36047023200.0,32
520,36047023300.0,1268
521,36047023400.0,95
522,36047023500.0,779
523,36047023600.0,117
524,36047023800.0,108
525,36047024000.0,64
526,36047024100.0,398
527,36047024200.0,47
528,36047024300.0,1716
529,36047024400.0,85
530,36047024500.0,1225
531,36047024600.0,112
532,36047024700.0,496
533,36047024800.0,150
534,36047024900.0,844
535,36047025000.0,119
536,36047025100.0,1866
537,36047025200.0,290
538,36047025300.0,772
539,36047025400.0,128
540,36047025500.0,1066
541,36047025600.0,223
542,36047025700.0,431
543,36047025800.0,153
544,36047025901.0,545
545,36047025902.0,428
546,36047026000.0,252
547,36047026100.0,816
548,36047026200.0,91
549,36047026300.0,898
550,36047026400.0,1439
551,36047026500.0,430
552,36047026600.0,178
553,36047026700.0,619
554,36047026800.0,107
555,36047026900.0,565
556,36047027000.0,370
557,36047027100.0,242
558,36047027200.0,194
559,36047027300.0,335
560,36047027400.0,127
561,36047027500.0,605
562,36047027600.0,346
563,36047027700.0,763
564,36047027800.0,257
565,36047027900.0,744
566,36047028000.0,28
567,36047028100.0,569
568,36047028200.0,254
569,36047028300.0,417
570,36047028400.0,342
571,36047028501.0,283
572,36047028502.0,529
573,36047028600.0,400
574,36047028700.0,972
575,36047028800.0,188
576,36047028900.0,491
577,36047029000.0,341
578,36047029100.0,401
579,36047029200.0,150
580,36047029300.0,521
581,36047029400.0,63
582,36047029500.0,702
583,36047029600.0,309
584,36047029700.0,646
585,36047029800.0,112
586,36047029900.0,340
587,36047030000.0,59
588,36047030100.0,287
589,36047030200.0,180
590,36047030300.0,543
591,36047030400.0,111
592,36047030500.0,944
593,36047030600.0,792
594,36047030700.0,775
595,36047030800.0,7
596,36047030900.0,651
597,36047031100.0,956
598,36047031300.0,591
599,36047031400.0,19
600,36047031500.0,1119
601,36047031701.0,1279
602,36047031702.0,1366
603,36047031900.0,668
604,36047032100.0,1321
605,36047032300.0,520
606,36047032500.0,917
607,36047032600.0,1047
608,36047032700.0,799
609,36047032800.0,1154
610,36047032900.0,1056
611,36047033000.0,436
612,36047033100.0,874
613,36047033300.0,133
614,36047033500.0,106
615,36047033600.0,99
616,36047033700.0,286
617,36047033900.0,626
618,36047034000.0,419
619,36047034100.0,1021
620,36047034200.0,974
621,36047034300.0,1442
622,36047034500.0,1010
623,36047034700.0,1226
624,36047034800.0,285
625,36047034900.0,978
626,36047035000.0,133
627,36047035100.0,859
628,36047035200.0,1
629,36047035300.0,1466
630,36047035400.0,132
631,36047035500.0,2053
632,36047035601.0,117
633,36047035602.0,174
634,36047035700.0,1074
635,36047035900.0,1750
636,36047036001.0,170
637,36047036002.0,642
638,36047036100.0,367
639,36047036200.0,289
640,36047036300.0,445
641,36047036400.0,213
