,census_tract,day_of_week,Pickup_longitude,Pickup_latitude,Passenger_count,Trip_distance,Total_amount,year,ride
1595,36081038302,340,-17152.596870422363,9455.599559783936,352,728.52,3470.8899999999994,467248,232
1596,36081038400,112,-3105.269889831543,1712.0948524475098,51,176.80999999999995,791.51,84588,42
1597,36081039400,84,-1774.4849548339844,978.1048774719238,31,75.45000000000002,337.75,48336,24
1598,36081039800,259,-8206.124229431152,4524.929859161377,161,328.81999999999994,1536.7600000000002,223554,111
1599,36081039900,504,-500666.045173645,276000.0535888672,9993,20737.239999999998,99537.4,13638808,6772
1600,36081040100,504,-526033.2829666138,289978.55601119995,10256,21760.669999999987,104721.98999999998,14329610,7115
1601,36081040200,61,-1774.1584014892578,978.4550933837891,34,75.77,350.8,48336,24
1602,36081040300,504,-521591.3821029663,287531.8851966858,10200,21946.140000000007,105016.90999999997,14208770,7055
1603,36081040400,72,-1774.0959777832031,978.3968353271484,30,88.88,397.55,48336,24
1604,36081040500,504,-1054572.8973846436,581341.0133934021,20321,43937.58000000002,210482.1800000001,28727696,14264
1605,36081040700,504,-273107.341835022,150551.78757095337,5248,11246.689999999999,54151.589999999975,7439716,3694
1606,36081040900,504,-1491968.598350525,822455.4255828857,28963,62895.060000000034,302749.68999999994,40642520,20180
1607,36081041100,502,-264972.8921813965,146067.82495117188,5104,11148.540000000005,52828.47999999999,7218176,3584
1608,36081041300,488,-82139.29295349121,45277.9797744751,1628,3530.070000000001,16645.559999999998,2237554,1111
1609,36081041400,91,-2218.2247161865234,1222.221778869629,48,93.80999999999999,443.45000000000005,60420,30
1610,36081041500,492,-97887.1328125,53959.46597290039,1895,4133.39,19672.199999999986,2666536,1324
1611,36081042700,504,-162355.1615524292,89498.22239685059,3164,6772.120000000001,32140.109999999997,4422744,2196
1612,36081043200,62,-1330.7836227416992,733.6358528137207,32,78.55999999999999,342.7,36252,18
1613,36081043400,209,-6210.381874084473,3423.0431022644043,110,205.5700000000001,1031.37,169176,84
1614,36081043701,504,-110751.07276153564,61051.38567733765,2181,4551.69,21549.38000000001,3016972,1498
1615,36081043702,478,-67573.88070678711,37253.768100738525,1290,2861.5000000000005,13806.55,1840796,914
1616,36081043900,493,-98847.76328277588,54490.9909362793,1924,4140.22,19846.73,2692718,1337
1617,36081044000,157,-4509.975242614746,2486.2698516845703,95,168.23999999999998,807.03,122854,61
