,GEOID,STATE,COUNTY,TRACT,LAT,LON
328,36005034000,36,005,34000,40.8684405,-73.8629232
329,36005034200,36,005,34200,40.8684165,-73.8600256
330,36005034300,36,005,34300,40.9096678,-73.8981695
331,36005034400,36,005,34400,40.8683644,-73.8571317
332,36005034500,36,005,34500,40.9040642,-73.8986561
333,36005034800,36,005,34800,40.8694471,-73.8530706
334,36005035000,36,005,35000,40.8685221,-73.8482552
335,36005035100,36,005,35100,40.8951029,-73.9000859
336,36005035600,36,005,35600,40.8668437,-73.8359921
337,36005035800,36,005,35800,40.8739752,-73.8426048
338,36005035900,36,005,35900,40.8403016,-73.8834386
339,36005036000,36,005,36000,40.8668405,-73.8431182
340,36005036100,36,005,36100,40.8422924,-73.8795815
341,36005036300,36,005,36300,40.8445641,-73.8827622
342,36005036400,36,005,36400,40.8736354,-73.849235
343,36005036501,36,005,36501,40.8453745,-73.8858159
344,36005036502,36,005,36502,40.8423825,-73.8878235
345,36005036700,36,005,36700,40.8407598,-73.8893061
346,36005036800,36,005,36800,40.8753072,-73.855942
347,36005036901,36,005,36901,40.8444127,-73.8918108
348,36005036902,36,005,36902,40.8426434,-73.892949
349,36005037000,36,005,37000,40.8730921,-73.8590214
350,36005037100,36,005,37100,40.8472204,-73.8873781
351,36005037200,36,005,37200,40.8738025,-73.8632803
352,36005037300,36,005,37300,40.8486733,-73.8901415
353,36005037400,36,005,37400,40.8745379,-73.8666711
354,36005037504,36,005,37504,40.8502936,-73.892678
355,36005037600,36,005,37600,40.874569,-73.8692131
356,36005037800,36,005,37800,40.8797991,-73.8666211
357,36005037900,36,005,37900,40.8515594,-73.8987883
358,36005038000,36,005,38000,40.8780935,-73.8624415
359,36005038100,36,005,38100,40.8520583,-73.9011465
360,36005038200,36,005,38200,40.877309,-73.8547432
361,36005038301,36,005,38301,40.8572137,-73.8985196
362,36005038302,36,005,38302,40.85745,-73.8950077
363,36005038500,36,005,38500,40.8562296,-73.89249
364,36005038600,36,005,38600,40.8796352,-73.8484023
365,36005038700,36,005,38700,40.8580023,-73.8892229
366,36005038800,36,005,38800,40.8795982,-73.8553665
367,36005038900,36,005,38900,40.8564319,-73.8849744
368,36005039000,36,005,39000,40.8812352,-73.86076
369,36005039100,36,005,39100,40.8531215,-73.8871318
370,36005039200,36,005,39200,40.8832885,-73.8647381
371,36005039300,36,005,39300,40.8525181,-73.8831358
372,36005039400,36,005,39400,40.8864792,-73.8633993
373,36005039500,36,005,39500,40.8481912,-73.8967151
374,36005039600,36,005,39600,40.8844238,-73.8589556
375,36005039700,36,005,39700,40.8619267,-73.8854132
376,36005039800,36,005,39800,40.882697,-73.8534698
377,36005039901,36,005,39901,40.8635349,-73.8936413
378,36005039902,36,005,39902,40.8604227,-73.8947478
379,36005040100,36,005,40100,40.8646119,-73.8976515
380,36005040302,36,005,40302,40.8678675,-73.892176
381,36005040303,36,005,40303,40.869682,-73.8934561
382,36005040304,36,005,40304,40.86767,-73.8951873
383,36005040400,36,005,40400,40.8861691,-73.8513487
