,GEOID,id,coffee_count
1019,36085027706,3,3
1020,36085029102,4,4
1021,36085029103,1,1
1022,36085029104,3,3
1023,36085031901,1,1
1024,36085031902,6,6
1025,36085032300,80,80
1026,36087011901,7,7
1027,36087012000,5,5
1028,36087012501,1,1
1029,36103110102,1,1
1030,36103110200,1,1
1031,36103110502,2,2
1032,36103110600,3,3
1033,36103110901,6,6
1034,36103110902,1,1
1035,36103111001,2,2
1036,36103111100,1,1
1037,36103111402,1,1
1038,36103111601,2,2
1039,36103111701,2,2
1040,36103111801,1,1
1041,36103111804,1,1
1042,36103112001,4,4
1043,36103112103,1,1
1044,36103112104,1,1
1045,36103112204,2,2
1046,36103112206,3,3
1047,36103122300,5,5
1048,36103122601,3,3
1049,36103122707,1,1
1050,36103122801,1,1
1051,36103122802,2,2
1052,36103122902,1,1
1053,36103123401,1,1
1054,36103123402,1,1
1055,36103123500,4,4
1056,36103123600,1,1
1057,36103123702,1,1
1058,36103123900,2,2
1059,36103124300,1,1
1060,36103124401,1,1
1061,36103124500,1,1
1062,36103124602,1,1
1063,36103135201,2,2
1064,36103135205,2,2
1065,36103135209,1,1
1066,36103145901,1,1
1067,36103145903,1,1
1068,36103146001,1,1
1069,36103146800,1,1
1070,36103147200,1,1
1071,36119001502,1,1
1072,36119002600,1,1
1073,36119005500,1,1
1074,36119005800,2,2
1075,36119005901,1,1
1076,36119008302,11,11
