,census_tract,rides_yellow,rides_uber,rides_green,share_uber,total_rides,share_yellow
42,2600,54,102.0,142.0,0.47651006711409394,298.0,0.18120805369127516
43,2601,27008,3519.0,6.0,0.00019650869550977631,30533.0,0.8845511413880064
44,2602,90716,9864.0,,,,
45,2700,67856,4436.0,6.0,8.298984757531328e-05,72298.0,0.9385598495117431
46,2701,560,74.0,2743.0,0.812259401835949,3377.0,0.16582765768433522
47,2702,421,105.0,3063.0,0.8534410699359153,3589.0,0.11730286988018947
48,2800,118390,8991.0,791.0,0.006171394688387479,128172.0,0.9236806790874762
49,2900,55350,4011.0,24.0,0.0004041424602172266,59385.0,0.9320535488759788
50,2901,2693,439.0,4682.0,0.5991809572562068,7814.0,0.34463782953672895
51,3000,228,93.0,62.0,0.1618798955613577,383.0,0.5953002610966057
52,3001,385566,24415.0,16.0,3.902467579031066e-05,409997.0,0.9404117591104325
53,3002,292700,10578.0,18.0,5.9347963705423086e-05,303296.0,0.9650638320320742
54,3100,217069,27786.0,15537.0,0.05966773172754923,260392.0,0.8336239208577837
55,3200,396435,20336.0,257.0,0.000616265574493799,417028.0,0.9506196226632264
56,3201,19,29.0,6.0,0.1111111111111111,54.0,0.35185185185185186
57,3202,74,216.0,48.0,0.14201183431952663,338.0,0.21893491124260356
58,3300,604732,54790.0,58929.0,0.08202229518784163,718451.0,0.8417164148981628
59,3400,432722,20341.0,119.0,0.00026258765793875307,453182.0,0.9548525757863287
60,3500,38765,5818.0,72059.0,0.6177791875996639,116642.0,0.33234169510125
61,3600,198,320.0,143.0,0.21633888048411498,661.0,0.29954614220877457
62,3601,246828,18306.0,25.0,9.428305280982354e-05,265159.0,0.930867894357725
63,3602,260976,14559.0,18.0,6.532318646503577e-05,275553.0,0.9470991061610652
64,3700,178991,36008.0,28490.0,0.11700733914057719,243489.0,0.7351091835770815
65,3800,295055,16777.0,313.0,0.0010027391116308126,312145.0,0.9452498037770908
66,3900,242738,25172.0,23817.0,0.08164139760803765,291727.0,0.8320724512986456
67,4000,375133,17806.0,40.0,0.00010178660946259215,392979.0,0.9545879041882646
68,4001,321,28.0,1783.0,0.8363039399624765,2132.0,0.15056285178236398
69,4002,279,116.0,457.0,0.5363849765258216,852.0,0.3274647887323944
70,4100,296128,23422.0,13683.0,0.041061359469200226,333233.0,0.8886514840967131
71,4200,632929,24601.0,2699.0,0.004087975535761077,660229.0,0.9586507105867813
72,4300,613012,49704.0,60459.0,0.08360217098212742,723175.0,0.8476675770041829
73,4400,4608,210.0,476.0,0.08991310918020401,5294.0,0.8704193426520589
74,4401,111,181.0,66.0,0.18435754189944134,358.0,0.3100558659217877
75,4500,529273,48928.0,34197.0,0.05584113599325929,612398.0,0.8642631099383081
76,4600,109,45.0,1174.0,0.8840361445783133,1328.0,0.08207831325301204
77,4700,507164,60429.0,4480.0,0.007831168399837083,572073.0,0.8865372076640569
78,4800,314919,11544.0,3638.0,0.01102086937028364,330101.0,0.9540080157285195
79,4900,484179,57541.0,2755.0,0.005059920106524634,544475.0,0.8892584599843887
80,5000,635820,28097.0,12.0,1.8074221791787976e-05,663929.0,0.957662641637886
81,5001,54,,449.0,,,
82,5002,74,24.0,2177.0,0.9569230769230769,2275.0,0.032527472527472526
83,5100,19524,2401.0,52988.0,0.7073271661794348,74913.0,0.26062232189339635
84,5200,576300,37923.0,736.0,0.0011968277559967413,614959.0,0.9371356464414701
85,5201,11,72.0,30.0,0.26548672566371684,113.0,0.09734513274336283
86,5202,35,78.0,66.0,0.3687150837988827,179.0,0.19553072625698323
87,5300,17005,4725.0,10008.0,0.31533177894007186,31738.0,0.5357930556430777
