,GEOID,accommodates,bathrooms,bedrooms,beds,dailyrate,number_of_reviews,review_scores_location,review_scores_rating,airbnb_listings
67,36005021100,2.0,1.0,1.0,1.0,57.5,1.0,8.0,90.0,2.0
68,36005021200,2.28571428571,1.0,1.14285714286,1.57142857143,134.142857143,2.28571428571,9.66666666667,97.6666666667,7.0
69,36005021301,2.0,1.0,1.0,1.0,55.0,33.0,7.0,86.0,1.0
70,36005021601,2.0,1.0,1.0,1.0,96.3333333333,7.33333333333,9.0,93.5,3.0
71,36005021602,1.5,1.0,1.0,1.0,62.5,0.0,,,2.0
72,36005021700,3.33333333333,0.5,1.0,1.0,41.3333333333,57.3333333333,7.33333333333,78.3333333333,3.0
73,36005021800,2.0,1.0,1.0,1.0,100.0,0.0,,,1.0
74,36005022000,2.0,1.0,1.0,1.0,45.0,0.0,,,1.0
75,36005022101,4.0,1.0,1.0,1.0,40.0,2.0,9.0,100.0,1.0
76,36005022102,4.0,1.0,1.0,2.0,72.0,8.0,10.0,100.0,1.0
77,36005022200,2.66666666667,1.0,1.0,1.33333333333,100.666666667,0.0,,,3.0
78,36005022300,3.5,1.0,1.0,1.0,30.0,75.0,8.0,92.5,2.0
79,36005022401,2.0,1.0,1.0,1.0,80.0,0.0,,,1.0
80,36005022403,3.0,1.0,1.2,1.2,81.0,1.0,9.5,83.3333333333,5.0
81,36005022404,2.8,1.0,1.0,1.0,57.8,6.4,9.0,96.0,5.0
82,36005022500,4.0,1.33333333333,1.0,3.66666666667,34.6666666667,13.0,8.0,96.0,3.0
83,36005022701,2.33333333333,1.0,1.0,1.0,76.3333333333,8.33333333333,9.0,95.0,3.0
84,36005022703,2.0,1.0,1.0,1.0,69.0,0.0,,,1.0
85,36005022800,6.0,1.5,3.0,3.0,120.0,16.0,10.0,98.0,1.0
86,36005023200,2.0,1.0,1.0,1.0,37.0,1.0,8.0,60.0,1.0
87,36005023302,5.66666666667,1.0,2.66666666667,3.0,183.333333333,8.33333333333,7.5,85.5,3.0
88,36005023502,4.0,1.0,1.0,2.0,74.0,7.5,8.5,90.0,2.0
89,36005023704,3.0,1.0,1.0,2.0,60.0,2.33333333333,7.0,90.0,3.0
90,36005023900,2.0,2.0,1.0,1.0,38.0,2.0,10.0,100.0,1.0
91,36005024000,1.66666666667,1.0,1.0,1.0,40.3333333333,0.0,,,3.0
92,36005024100,3.0,1.0,1.0,1.0,38.0,10.0,8.0,88.0,1.0
93,36005024300,3.0,1.0,1.0,1.0,82.0,6.66666666667,8.5,80.0,3.0
94,36005024501,2.5,1.125,1.0,2.0,43.5,7.5,7.66666666667,85.0,4.0
95,36005024502,2.0,1.0,1.0,1.0,65.0,28.0,8.0,91.0,1.0
96,36005024800,3.0,1.0,1.0,2.0,106.0,12.3333333333,8.5,99.0,3.0
97,36005024900,1.0,1.0,1.0,1.0,50.0,42.5,8.0,95.0,2.0
98,36005025100,2.0,1.66666666667,1.0,1.0,56.0,8.66666666667,9.0,96.0,6.0
99,36005025700,2.0,1.0,1.0,1.0,90.0,0.0,,,2.0
100,36005026300,2.0,1.0,1.0,2.0,40.0,5.0,7.0,85.0,1.0
101,36005026500,2.5,1.0,1.0,1.25,57.5,11.5,8.66666666667,95.6666666667,4.0
102,36005026601,2.0,1.0,1.0,1.0,69.0,33.0,9.0,98.0,1.0
103,36005026602,1.6,1.0,1.0,1.0,51.0,13.0,8.4,97.2,5.0
104,36005027401,5.0,1.0,2.0,3.0,99.0,0.0,,,1.0
105,36005027700,3.28571428571,1.0,1.0,1.71428571429,72.0,3.0,9.33333333333,96.6666666667,7.0
106,36005027900,2.5,1.0,1.25,1.25,79.0,0.5,10.0,100.0,4.0
107,36005028100,1.5,1.0,1.0,1.0,47.5,3.0,9.5,92.0,2.0
108,36005028300,2.33333333333,1.0,0.666666666667,1.0,64.3333333333,3.66666666667,9.33333333333,95.3333333333,3.0
109,36005028500,3.5,1.375,1.5,2.0,121.25,2.25,10.0,100.0,4.0
110,36005028700,4.0,1.0,2.0,2.0,200.0,3.0,9.0,100.0,1.0
111,36005028900,4.0,3.0,4.0,5.0,497.0,0.0,,,1.0
112,36005029302,4.14285714286,1.35714285714,1.71428571429,2.71428571429,149.714285714,0.857142857143,10.0,93.3333333333,7.0
113,36005029500,1.25,1.0,1.0,1.0,66.0,34.25,9.0,97.0,4.0
114,36005029700,2.33333333333,1.22222222222,1.22222222222,1.44444444444,80.8888888889,1.66666666667,9.33333333333,92.3333333333,9.0
115,36005030000,2.0,1.0,1.0,1.0,110.0,0.0,,,2.0
116,36005030100,2.77777777778,1.38888888889,1.55555555556,2.11111111111,147.0,3.55555555556,9.5,95.8571428571,9.0
117,36005030200,2.0,1.0,1.0,1.0,71.0,10.0,9.0,93.0,2.0
118,36005030701,4.0,1.25,1.5,2.0,101.5,2.5,10.0,90.0,2.0
119,36005032300,3.0,1.0,1.0,1.5,64.5,0.5,10.0,100.0,2.0
120,36005032600,8.0,1.0,1.0,3.0,125.0,166.0,9.0,91.0,1.0
121,36005033000,2.0,1.0,0.0,1.0,75.0,1.0,10.0,100.0,1.0
122,36005033201,2.5,1.0,1.0,1.75,40.5,55.0,8.75,90.0,4.0
123,36005033202,2.5,1.0,1.0,1.5,50.0,1.0,10.0,80.0,2.0
124,36005033500,3.0,1.0,1.0,1.0,58.0,38.0,9.0,79.5,2.0
125,36005033600,6.0,1.0,1.0,3.0,48.0,2.0,9.0,80.0,1.0
126,36005034200,2.5,1.16666666667,1.16666666667,1.33333333333,69.6666666667,18.3333333333,8.66666666667,93.1666666667,6.0
127,36005034300,5.6,1.8,2.0,3.2,107.6,17.2,9.75,92.75,5.0
128,36005034400,1.66666666667,1.33333333333,1.0,1.0,63.3333333333,29.6666666667,8.66666666667,94.6666666667,3.0
129,36005034500,1.33333333333,1.16666666667,1.0,1.0,59.0,16.3333333333,9.5,97.5,3.0
130,36005034800,1.5,1.0,1.0,1.0,41.0,21.0,8.5,92.0,2.0
131,36005035000,6.75,1.0,1.25,3.0,116.0,7.75,9.0,91.5,4.0
132,36005035100,2.25,1.0,0.75,1.0,62.5,4.5,7.5,80.5,4.0
133,36005035800,2.0,1.0,1.0,1.0,79.0,27.0,9.0,98.0,1.0
134,36005036000,1.85714285714,1.0,1.28571428571,1.28571428571,70.2857142857,15.5714285714,9.2,91.0,7.0
135,36005036100,4.0,1.0,1.0,2.0,63.0,6.0,7.0,83.0,1.0
136,36005036300,2.0,1.0,1.0,1.0,59.0,6.0,9.0,92.0,2.0
137,36005036501,2.0,1.5,1.0,2.0,59.0,4.0,9.0,95.0,1.0
138,36005036502,2.0,1.5,1.0,1.0,59.0,7.0,9.0,97.0,1.0
139,36005036700,3.0,1.0,1.0,1.0,42.0,12.0,9.0,93.0,1.0
140,36005036902,2.0,1.0,1.0,1.5,54.0,1.0,10.0,80.0,2.0
141,36005037000,2.5,1.0,1.0,1.0,67.5,6.5,8.5,94.0,2.0
142,36005037400,2.33333333333,1.0,1.0,1.66666666667,73.3333333333,5.66666666667,9.5,97.5,3.0
143,36005037900,1.0,1.0,1.0,1.0,34.0,2.0,10.0,90.0,1.0
144,36005038000,2.0,1.0,1.0,1.0,91.5,2.5,10.0,100.0,2.0
145,36005038301,3.0,1.0,1.0,1.5,52.5,13.0,8.0,86.0,2.0
146,36005038302,3.0,1.0,0.0,1.0,50.0,0.0,,,1.0
147,36005038600,2.0,1.125,1.125,1.5,54.0,6.25,8.2,90.2,8.0
148,36005038900,2.25,1.0,1.0,1.5,53.75,16.0,8.25,86.5,4.0
149,36005039100,1.0,1.0,1.0,1.0,70.0,0.0,,,1.0
150,36005039200,2.0,2.0,1.0,1.0,50.0,0.0,,,1.0
151,36005039400,3.0,1.0,1.0,1.0,68.0,9.0,9.0,93.0,1.0
152,36005039500,2.0,1.0,1.0,1.0,42.0,0.0,,,1.0
153,36005039700,3.0,1.0,1.0,2.0,130.0,0.0,,,1.0
154,36005039800,4.5,1.0,1.5,2.0,99.5,2.0,8.0,90.0,2.0
155,36005039901,1.66666666667,1.0,1.0,1.0,110.0,0.0,,,3.0
156,36005040303,1.0,1.0,1.0,1.0,30.0,22.0,8.0,90.0,1.0
157,36005040304,2.0,1.0,1.0,1.0,65.0,0.0,,,1.0
158,36005040501,6.0,1.0,2.0,2.0,120.0,7.0,8.0,90.0,1.0
159,36005040502,2.0,1.0,1.0,1.0,65.0,1.5,8.0,87.0,2.0
160,36005040600,4.0,1.0,1.0,2.0,90.0,3.0,7.0,100.0,1.0
161,36005040701,1.5,1.0,1.0,1.0,47.5,6.0,9.5,100.0,2.0
162,36005040702,1.5,1.0,1.0,1.0,52.5,1.5,8.0,90.0,2.0
163,36005040800,1.0,1.0,1.0,1.0,40.0,2.0,10.0,100.0,1.0
164,36005040900,2.0,1.0,1.0,1.0,52.0,7.0,9.0,97.0,1.0
165,36005041100,1.5,1.0,1.0,1.0,87.5,1.0,10.0,80.0,2.0
166,36005041300,1.5,1.0,1.0,1.125,69.375,8.25,8.8,96.6,8.0
167,36005041400,1.0,2.0,1.0,1.0,200.0,0.0,,,1.0
168,36005041500,1.33333333333,1.0,0.666666666667,1.0,63.3333333333,5.33333333333,9.0,89.0,3.0
169,36005041800,3.0,1.0,1.0,2.0,90.0,15.0,10.0,100.0,1.0
170,36005041900,3.0,1.0,1.0,1.0,49.6666666667,6.33333333333,8.5,93.0,3.0
171,36005042100,4.4,1.0,1.2,2.2,74.0,5.6,8.0,82.0,5.0
172,36005042200,3.0,1.0,1.0,2.0,150.0,0.0,,,1.0
173,36005042300,2.0,1.16666666667,1.0,1.0,80.0,17.6666666667,9.0,95.0,3.0
174,36005042400,3.0,1.0,1.0,2.0,79.0,6.0,9.0,97.0,1.0
175,36005042500,4.0,1.0,0.5,2.5,122.5,10.0,8.0,92.0,2.0
176,36005042600,4.0,1.0,1.0,2.0,97.0,0.0,,,1.0
177,36005042901,2.0,1.0,1.0,1.0,67.8,1.2,9.0,100.0,5.0
178,36005042902,2.5,1.0,1.0,1.0,37.5,5.5,7.0,70.0,2.0
179,36005043000,1.0,1.0,1.0,1.0,150.0,0.0,,,1.0
180,36005043400,4.0,1.0,2.0,2.0,157.5,0.0,,,2.0
181,36005044200,1.0,1.0,1.0,1.0,125.0,0.0,,,1.0
182,36005044400,1.0,1.0,1.0,1.0,100.0,0.0,,,1.0
183,36005044902,3.33333333333,1.0,1.0,1.66666666667,81.3333333333,0.0,,,3.0
184,36005045101,2.0,1.0,1.0,1.0,74.3333333333,38.6666666667,9.0,92.0,3.0
185,36005045800,3.5,1.0,2.0,2.5,115.5,3.0,10.0,100.0,2.0
186,36005046201,2.0,1.25,1.0,1.0,107.5,6.0,9.0,93.0,2.0
187,36005046202,2.375,1.0,1.125,1.375,70.0,6.0,8.85714285714,91.8571428571,8.0
188,36005048400,5.0,1.0,2.0,1.0,125.0,0.0,,,1.0
189,36005051600,3.33333333333,1.38888888889,1.22222222222,1.55555555556,120.666666667,19.8888888889,9.875,95.875,9.0
190,36047000100,3.05555555556,1.30555555556,1.27777777778,2.0,252.777777778,10.6111111111,10.0,95.0769230769,18.0
191,36047000200,2.0,1.0,1.0,1.0,79.0,27.0,8.0,94.0,1.0
192,36047000301,2.88235294118,1.11764705882,1.05882352941,1.41176470588,201.470588235,8.0,9.7,90.1,17.0
193,36047000501,2.65217391304,1.0,1.04347826087,1.30434782609,192.739130435,9.86956521739,9.875,93.8125,23.0
194,36047000502,2.72727272727,1.15909090909,0.952380952381,1.22727272727,184.954545455,10.3181818182,9.8,94.4,22.0
195,36047000700,2.6875,1.0,1.03125,1.34375,160.375,18.90625,9.72,90.72,32.0
196,36047000900,2.61538461538,1.08974358974,1.07692307692,1.48717948718,156.307692308,8.15384615385,9.71428571429,90.7142857143,39.0
197,36047001100,4.0,1.28571428571,1.71428571429,1.85714285714,144.714285714,12.7142857143,9.71428571429,93.8571428571,7.0
198,36047001300,2.75,1.33333333333,0.75,1.0,196.25,9.75,9.75,95.5,4.0
199,36047001500,2.421875,1.0625,1.0,1.328125,126.734375,10.625,9.18181818182,95.0,64.0
200,36047002000,2.0,1.0,1.0,1.0,82.0,33.0,9.0,93.0,1.0
201,36047002100,2.7,1.12068965517,1.06666666667,1.53333333333,181.366666667,15.9,9.79166666667,97.5416666667,30.0
202,36047002200,1.42857142857,1.0,1.0,1.14285714286,72.5714285714,13.0,8.8,92.2,7.0
203,36047002300,2.94736842105,1.19736842105,1.23684210526,1.56756756757,160.473684211,9.68421052632,9.57692307692,93.5,38.0
204,36047002901,3.75,1.0,1.25,2.0,147.0,23.75,8.66666666667,92.3333333333,4.0
205,36047003000,1.0,1.0,1.0,1.0,65.0,6.0,10.0,100.0,1.0
206,36047003100,2.0,1.03846153846,0.923076923077,1.30769230769,127.0,8.15384615385,9.625,93.5,13.0
207,36047003300,2.75862068966,1.24137931034,1.22413793103,1.51724137931,188.827586207,8.91379310345,9.62068965517,95.1034482759,58.0
208,36047003500,2.65454545455,1.01818181818,0.890909090909,1.47272727273,130.890909091,21.3636363636,9.84090909091,92.9772727273,55.0
209,36047003600,4.84615384615,1.13636363636,1.41666666667,3.46153846154,143.153846154,15.7692307692,9.25,88.75,13.0
210,36047003700,2.75,1.0,0.95,1.35,164.85,4.3,9.64285714286,96.2142857143,20.0
