,census_tract,rides
1033,36047107800,29
1034,36047109800,27
1035,36047110400,166
1036,36047110600,111
1037,36047111000,44
1038,36047111600,23
1039,36047111800,80
1040,36047112000,58
1041,36047112200,84
1042,36047112400,61
1043,36047112600,55
1044,36047112800,90
1045,36047113000,91
1046,36047113200,108
1047,36047113400,71
1048,36047114201,31
1049,36047114202,30
1050,36047114400,123
1051,36047114600,37
1052,36047115000,28
1053,36047115200,80
1054,36047115600,42
1055,36047115800,108
1056,36047116000,43
1057,36047116200,56
1058,36047116400,115
1059,36047116600,13
1060,36047116800,15
1061,36047117000,44
1062,36047117201,54
1063,36047117202,21
1064,36047117400,39
1065,36047117601,17
1066,36047117602,55
1067,36047117800,131
1068,36047118201,15
1069,36047118202,6
1070,36047118400,22
1071,36047118600,77
1072,36047118800,55
1073,36047119000,40
1074,36047119200,17
1075,36047119400,71
1076,36047119600,72
1077,36047119800,27
1078,36047120000,64
1079,36047120200,28
1080,36047120800,121
1081,36047121000,195
1082,36047121400,118
1083,36047122000,52
1084,36047123700,958
1085,36047150200,260
1086,36047152200,217
1087,36047990100,2
1088,36061000100,4175
1089,36061000201,2889
1090,36061000202,191
1091,36061000600,455
1092,36061000700,21106
1093,36061000800,1631
1094,36061000900,19466
1095,36061001001,792
1096,36061001002,132
1097,36061001200,1678
1098,36061001300,43114
1099,36061001401,6876
1100,36061001402,5126
1101,36061001501,10988
1102,36061001502,2583
1103,36061001600,10288
1104,36061001800,18736
1105,36061002000,340
1106,36061002100,56884
1107,36061002201,3894
1108,36061002202,7217
1109,36061002400,48
1110,36061002500,379
1111,36061002601,3519
1112,36061002602,9864
1113,36061002700,4417
1114,36061002800,8978
1115,36061002900,3967
1116,36061003001,24415
1117,36061003002,10578
1118,36061003100,26599
1119,36061003200,20322
1120,36061003300,49546
1121,36061003400,20037
1122,36061003601,18306
1123,36061003602,14559
1124,36061003700,29649
1125,36061003800,16683
1126,36061003900,22684
1127,36061004000,17794
1128,36061004100,20235
1129,36061004200,24513
1130,36061004300,45351
1131,36061004400,160
1132,36061004500,45647
1133,36061004700,58923
1134,36061004800,11543
1135,36061004900,55586
1136,36061005000,28024
1137,36061005200,37821
1138,36061005400,44017
1139,36061005501,20337
1140,36061005502,38660
1141,36061005600,34831
1142,36061005700,26808
1143,36061005800,53186
1144,36061005900,16704
1145,36061006000,10246
1146,36061006100,28482
1147,36061006200,4154
1148,36061006300,27300
1149,36061006400,15887
1150,36061006500,32138
1151,36061006600,8676
1152,36061006700,58242
1153,36061006800,29394
1154,36061006900,9244
1155,36061007000,13940
1156,36061007100,30491
1157,36061007200,22584
1158,36061007300,46099
1159,36061007400,37170
1160,36061007500,21854
1161,36061007600,32440
1162,36061007700,36809
1163,36061007800,13710
1164,36061007900,34686
1165,36061008000,27891
1166,36061008100,23376
1167,36061008200,33990
1168,36061008300,94630
1169,36061008400,42627
1170,36061008601,3068
1171,36061008602,779
1172,36061008603,5884
1173,36061008700,22083
1174,36061008800,18747
1175,36061008900,22010
1176,36061009000,19918
1177,36061009100,23742
1178,36061009200,49959
1179,36061009300,25579
1180,36061009400,47035
1181,36061009500,24047
1182,36061009600,55222
1183,36061009700,6880
1184,36061009800,16566
1185,36061009900,41543
1186,36061010000,51452
1187,36061010100,40021
1188,36061010200,57982
1189,36061010300,20247
1190,36061010400,52164
1191,36061010601,8609
1192,36061010602,4819
1193,36061010800,14882
1194,36061010900,22024
1195,36061011000,10362
1196,36061011100,20206
1197,36061011201,49708
1198,36061011202,41954
1199,36061011203,25858
1200,36061011300,32439
1201,36061011401,31447
1202,36061011402,16715
1203,36061011500,24278
1204,36061011600,5092
1205,36061011700,21814
1206,36061011800,17573
1207,36061011900,37972
1208,36061012000,14557
1209,36061012100,22526
1210,36061012200,20491
1211,36061012400,13595
1212,36061012500,30625
1213,36061012600,18003
1214,36061012700,14522
1215,36061012800,23741
1216,36061012900,12273
1217,36061013000,29950
1218,36061013100,33649
1219,36061013200,7551
1220,36061013300,16699
1221,36061013400,16721
1222,36061013500,8121
1223,36061013600,10368
1224,36061013700,45508
1225,36061013800,13531
1226,36061013900,13325
1227,36061014000,17066
1228,36061014200,23625
1229,36061014300,123
1230,36061014401,8139
1231,36061014402,10761
1232,36061014500,23328
1233,36061014601,9496
1234,36061014602,5907
1235,36061014700,17611
1236,36061014801,11627
1237,36061014802,8777
1238,36061014900,18794
1239,36061015001,11045
1240,36061015002,7859
1241,36061015100,8475
1242,36061015200,10
1243,36061015300,17225
1244,36061015400,8142
1245,36061015500,4770
1246,36061015601,3983
1247,36061015602,339
1248,36061015700,17301
1249,36061015801,6698
1250,36061015802,2314
1251,36061015900,9565
1252,36061016001,9294
1253,36061016002,4986
1254,36061016100,18757
1255,36061016200,476
1256,36061016300,3022
1257,36061016400,927
1258,36061016500,13544
1259,36061016600,599
1260,36061016700,7619
1261,36061016800,2692
1262,36061016900,15151
1263,36061017000,391
1264,36061017100,2326
1265,36061017200,375
1266,36061017300,13235
1267,36061017401,612
1268,36061017402,239
1269,36061017500,9661
1270,36061017700,7236
1271,36061017800,1074
1272,36061017900,2593
1273,36061018000,565
1274,36061018100,5645
1275,36061018200,555
1276,36061018300,4627
1277,36061018400,456
1278,36061018500,4078
1279,36061018600,339
1280,36061018700,2687
1281,36061018800,627
1282,36061018900,1756
1283,36061019000,973
1284,36061019100,3662
1285,36061019200,477
1286,36061019300,3519
1287,36061019400,796
1288,36061019500,1965
1289,36061019600,1245
1290,36061019701,177
1291,36061019702,826
1292,36061019800,479
1293,36061019900,2238
1294,36061020000,1731
1295,36061020101,1897
1296,36061020102,1339
1297,36061020300,2819
1298,36061020500,846
1299,36061020600,559
1300,36061020701,1405
1301,36061020800,1136
1302,36061020901,467
1303,36061021000,289
1304,36061021100,680
1305,36061021200,636
1306,36061021303,655
1307,36061021400,576
1308,36061021500,582
1309,36061021600,1130
1310,36061021703,478
1311,36061021800,1456
1312,36061021900,971
1313,36061022000,1132
1314,36061022102,667
1315,36061022200,821
1316,36061022301,512
1317,36061022302,246
1318,36061022400,346
1319,36061022500,384
1320,36061022600,1072
1321,36061022700,982
1322,36061022800,460
1323,36061022900,851
1324,36061023000,357
1325,36061023100,825
1326,36061023200,190
1327,36061023300,78
1328,36061023400,383
1329,36061023501,543
1330,36061023502,313
1331,36061023600,107
1332,36061023700,323
1333,36061023801,1979
1334,36061023802,239
1335,36061023900,498
1336,36061024000,2122
1337,36061024100,418
1338,36061024200,272
1339,36061024301,154
1340,36061024302,53
1341,36061024500,586
1342,36061024700,234
1343,36061024900,169
1344,36061025100,1856
1345,36061025300,515
1346,36061025500,1464
1347,36061025700,1777
1348,36061025900,520
1349,36061026100,132
1350,36061026300,532
1351,36061026500,852
1352,36061026700,482
1353,36061026900,357
1354,36061027100,438
1355,36061027300,473
1356,36061027500,246
1357,36061027700,115
1358,36061027900,457
1359,36061028100,307
1360,36061028300,111
